"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2001","1,253.80","1,241.40","1,267.40","1,241.40","","1.00%"
"03/05/2001","1,241.40","1,234.20","1,242.50","1,234.00","","0.58%"
"03/02/2001","1,234.20","1,241.20","1,251.00","1,219.70","","-0.56%"
"03/01/2001","1,241.20","1,239.90","1,241.40","1,214.50","","0.10%"
"02/28/2001","1,239.90","1,257.90","1,263.50","1,229.70","","-1.43%"
"02/27/2001","1,257.90","1,267.70","1,272.80","1,252.30","","-0.77%"
"02/26/2001","1,267.70","1,245.90","1,267.70","1,241.70","","1.75%"
"02/23/2001","1,245.90","1,252.80","1,252.80","1,215.40","","-0.55%"
"02/22/2001","1,252.80","1,255.30","1,259.90","1,228.30","","-0.20%"
"02/21/2001","1,255.30","1,278.90","1,283.00","1,253.20","","-1.85%"
"02/20/2001","1,278.90","1,301.50","1,307.20","1,278.40","","-1.74%"
"02/16/2001","1,301.50","1,326.60","1,326.60","1,293.20","","-1.89%"
"02/15/2001","1,326.60","1,315.90","1,331.30","1,315.90","","0.81%"
"02/14/2001","1,315.90","1,318.80","1,320.70","1,304.70","","-0.22%"
"02/13/2001","1,318.80","1,330.30","1,336.60","1,317.50","","-0.86%"
"02/12/2001","1,330.30","1,314.80","1,331.00","1,313.60","","1.18%"
"02/09/2001","1,314.80","1,332.50","1,332.50","1,310.00","","-1.33%"
"02/08/2001","1,332.50","1,341.10","1,350.30","1,332.40","","-0.63%"
"02/07/2001","1,340.90","1,352.30","1,352.30","1,334.30","","-0.84%"
"02/06/2001","1,352.30","1,354.30","1,363.50","1,350.00","","-0.15%"
"02/05/2001","1,354.30","1,349.50","1,354.60","1,344.50","","0.36%"
"02/02/2001","1,349.50","1,373.50","1,376.40","1,348.70","","-1.75%"
"02/01/2001","1,373.50","1,366.00","1,373.50","1,359.30","","0.55%"
"01/31/2001","1,366.00","1,373.70","1,383.40","1,364.70","","-0.56%"
"01/30/2001","1,373.70","1,364.20","1,375.70","1,356.20","","0.70%"
"01/29/2001","1,364.20","1,354.90","1,365.50","1,350.40","","0.68%"
"01/26/2001","1,355.00","1,357.50","1,357.50","1,342.80","","-0.18%"
"01/25/2001","1,357.50","1,364.30","1,367.30","1,354.60","","-0.50%"
"01/24/2001","1,364.30","1,360.40","1,369.80","1,357.30","","0.29%"
"01/23/2001","1,360.40","1,342.90","1,362.90","1,339.60","","1.30%"
"01/22/2001","1,342.90","1,342.50","1,353.60","1,333.80","","0.03%"
"01/19/2001","1,342.50","1,348.00","1,354.50","1,336.70","","-0.41%"
"01/18/2001","1,348.00","1,329.90","1,352.70","1,327.40","","1.39%"
"01/17/2001","1,329.50","1,326.70","1,346.90","1,325.40","","0.21%"
"01/16/2001","1,326.70","1,318.30","1,327.80","1,313.30","","0.64%"
"01/12/2001","1,318.30","1,326.80","1,333.20","1,311.60","","-0.64%"
"01/11/2001","1,326.80","1,313.30","1,332.20","1,309.70","","1.03%"
"01/10/2001","1,313.30","1,300.80","1,313.80","1,287.30","","0.96%"
"01/09/2001","1,300.80","1,295.90","1,311.70","1,295.10","","0.38%"
"01/08/2001","1,295.90","1,298.30","1,298.30","1,276.30","","-0.18%"
"01/05/2001","1,298.30","1,333.30","1,334.80","1,295.00","","-2.63%"
"01/04/2001","1,333.30","1,347.60","1,350.20","1,329.10","","-1.06%"
"01/03/2001","1,347.60","1,283.30","1,347.80","1,274.60","","5.01%"
